SubjectID,afraid,angry,compassionate,guilty,happy,hopeful,interested,mad,pitying,proud,sad,sympathetic,unhappy,b_afraid,b_angry,b_guilty,b_happy,b_hopeful,b_interested,b_mad,b_proud ,b_sad,b_unhappy,admissions,andrew,badluck,brian,b_admissions,b_andrew,b_badluck,b_brian,experimenter,condition,age,sex,black,asian,latino,white,natam,pacisl,other,mom.ed,dad.ed,problem
25,1,3,5,1,1,4,3,2,5,4,4,5,3,2,4,2,1,1,1,3,1,5,5,4,5,3,5,4,3,5,4,2,2,20,2,0,1,0,0,0,0,0,1,2,0
101,1,2,5,1,1,1,5,1,1,1,4,5,2,1,4,5,1,1,2,4,1,5,5,1,1,1,6,1,2,5,1,1,1,18,2,0,1,0,0,0,0,0,1,2,0
102,1,2,5,1,3,4,5,2,1,4,4,5,2,2,4,1,1,3,1,4,1,4,4,1,5,4,2,2,4,3,3,1,2,18,2,1,0,0,0,0,0,0,6,6,0
103,1,2,2,1,2,4,4,2,3,3,2,5,3,4,2,2,1,4,5,2,1,5,5,2,4,1,6,4,2,3,5,1,2,18,2,0,0,0,1,0,0,0,5,5,0
104,1,2,4,1,1,1,2,2,4,1,5,6,4,4,6,2,1,1,3,6,3,6,6,2,5,4,6,5,5,6,3,1,1,18,2,0,0,0,1,0,0,0,6,6,0
105,1,4,5,1,1,2,5,4,3,1,2,4,2,1,2,1,1,1,1,3,1,5,5,2,3,3,3,3,1,5,3,1,2,18,2,0,0,0,1,0,0,0,5,6,0
106,4,4,5,3,1,1,3,4,5,1,4,5,4,4,4,1,1,1,4,4,1,6,5,4,4,4,4,5,4,5,2,1,1,18,2,0,0,0,1,0,0,0,2,6,0
107,1,2,3,1,2,2,4,1,3,1,3,5,3,5,6,3,1,1,2,6,1,6,6,3,6,2,3,6,3,6,6,1,2,18,2,0,0,0,1,0,0,0,5,6,0
108,3,4,5,2,2,3,5,4,5,4,4,6,4,1,5,4,2,2,4,4,3,5,5,4,5,4,5,5,2,6,5,1,2,19,2,0,0,0,1,0,0,0,5,5,0
109,1,2,1,1,1,1,4,1,5,1,3,5,2,1,2,2,1,1,2,2,1,4,2,3,3,1,5,5,3,5,1,1,1,19,2,0,1,0,0,0,0,0,3,3,0
